## WinPython 3.3.3.1

The following packages are included in WinPython v3.3.3.1.

### Tools

Name | Version | Description
[PyQtdoc](http://pypi.python.org/pypi/PyQtdoc) | 4.8.4 | PyQtdoc installs Qt documentation for PyQt4
[PyQwt](http://pyqwt.sourceforge.net) | 5.2.1 | 2D plotting library (set of Python bindings for the Qwt library featuring fast plotting)
[pyreadline](http://ipython.org/pyreadline.html) | 2.0 | IPython needs this module to display color text in Windows command window
[pyserial](http://sourceforge.net/projects/pyserial) | 2.6 | Library encapsulating the access for the serial port
[PySide](https://pypi.python.org/pypi/PySide) | 1.2.1 | Python binding of the cross-platform GUI toolkit Qt
[python-dateutil](http://labix.org/python-dateutil) | 2.2 | Powerful extensions to the standard datetime module
[pytz](http://pytz.sourceforge.net/) | 2013.8 | World Timezone Definitions for Python
[pywin32](http://sourceforge.net/projects/pywin32) | 218.4 | Python library for Windows
[pyzmq](http://pypi.python.org/pypi/pyzmq) | 14.0.1 | Lightweight and super-fast messaging based on ZeroMQ library (required for IPython Qt console)
[Scidoc](http://pypi.python.org/pypi/Scidoc) | 1.8.0 | Scidoc installs scientific libraries documentation (NumPy, SciPy, ...)
[scikit-image](http://pypi.python.org/pypi/scikit-image) | 0.9.3 | Image processing toolbox for SciPy
[scikit-learn](http://pypi.python.org/pypi/scikit-learn) | 0.14.1 | A set of Python modules for machine learning and data mining
[scipy](http://www.scipy.org) | 0.13.2 | SciPy: Scientific Library for Python (advanced math, signal processing, optimization, statistics, ...)
[setuptools](http://pypi.python.org/pypi/setuptools) | 2.0.1 | Download, build, install, upgrade, and uninstall Python packages - easily
[simplejson](http://pypi.python.org/pypi/simplejson) | 3.3.1 | Simple, fast, extensible JSON (JavaScript Object Notation) encoder/decoder
[six](http://pypi.python.org/pypi/six) | 1.4.1 | Python 2 and 3 compatibility utilities
[Sphinx](http://sphinx.pocoo.org) | 1.2 | Tool for generating documentation which uses reStructuredText as its markup language
[spyder](http://pypi.python.org/pypi/spyder) | 2.3.0beta2 | Scientific PYthon Development EnviRonment: designed for interactive computing and data visualisation with a simple and intuitive user interface
[SQLAlchemy](http://www.sqlalchemy.org) | 0.8.4 | SQL Toolkit and Object Relational Mapper
[statsmodels](http://pypi.python.org/pypi/statsmodels) | 0.5.0 | Statistical computations and models for use with SciPy
[sympy](http://code.google.com/p/sympy) | 0.7.4.1 | Symbolic Mathematics Library
[tables](http://www.pytables.org) | 3.0.0 | Package based on HDF5 library for managing hierarchical datasets (extremely large amounts of data)
[tornado](http://pypi.python.org/pypi/tornado) | 3.1.1 | Scalable, non-blocking web server and tools (required for IPython notebook)
[VPython](http://www.vpython.org) | 5.74 | A free, open-source module for producing real-time 3D scenes with Python
[winpython](http://code.google.com/p/winpython) | 1.0 | WinPython distribution tools, including WPPM (package manager)
[xlrd](http://pypi.python.org/pypi/xlrd) | 0.9.2 | Extract data from Microsoft Excel spreadsheet files
